Bone,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Right Controller,12:08:31.0228770,1.089509,-0.7792575,2.789496,351.2822,95.03226,354.1071
Left Controller,12:08:31.0357440,1.090441,-0.8109387,3.07837,8.418643,88.79301,7.797335
Right Controller,12:08:31.0358130,1.089509,-0.7792575,2.789496,351.2822,95.03226,354.1071
Left Controller,12:08:31.0388090,1.090422,-0.8109365,3.078332,8.427095,88.79486,7.772943
Right Controller,12:08:31.0388970,1.089427,-0.7791788,2.789655,351.2072,94.97555,354.1067
Left Controller,12:08:31.0510910,1.090422,-0.8109365,3.078332,8.427095,88.79486,7.772943
Right Controller,12:08:31.0511710,1.089427,-0.7791788,2.789655,351.2072,94.97555,354.1067
Left Controller,12:08:31.0535580,1.090424,-0.8109027,3.078351,8.422873,88.78555,7.764262
Right Controller,12:08:31.0536470,1.089395,-0.7791555,2.78979,351.1665,94.95569,354.1754
Left Controller,12:08:31.0662060,1.090424,-0.8109027,3.078351,8.422873,88.78555,7.764262
Right Controller,12:08:31.0662850,1.089395,-0.7791555,2.78979,351.1665,94.95569,354.1754
Left Controller,12:08:31.0693420,1.090434,-0.8108855,3.078391,8.419544,88.76909,7.758284
Right Controller,12:08:31.0694500,1.08939,-0.7791781,2.789849,351.1667,94.96046,354.217
Left Controller,12:08:31.0810420,1.090434,-0.8108855,3.078391,8.419544,88.76909,7.758284
Right Controller,12:08:31.0811100,1.08939,-0.7791781,2.789849,351.1667,94.96046,354.217
Left Controller,12:08:31.0835000,1.090453,-0.8109034,3.078433,8.427608,88.74712,7.73365
Right Controller,12:08:31.0835930,1.089402,-0.7792396,2.789877,351.1961,94.96125,354.2258
Left Controller,12:08:31.0958390,1.090453,-0.8109034,3.078433,8.427608,88.74712,7.73365
Right Controller,12:08:31.0959070,1.089402,-0.7792396,2.789877,351.1961,94.96125,354.2258
Left Controller,12:08:31.0981300,1.090482,-0.8109558,3.078443,8.447562,88.73093,7.700417
Right Controller,12:08:31.0982490,1.089425,-0.7793115,2.789903,351.2347,94.94877,354.2113
Left Controller,12:08:31.1106000,1.090482,-0.8109558,3.078443,8.447562,88.73093,7.700417
Right Controller,12:08:31.1106730,1.089425,-0.7793115,2.789903,351.2347,94.94877,354.2113
Left Controller,12:08:31.1130500,1.090503,-0.8110275,3.078428,8.471524,88.73297,7.66777
Right Controller,12:08:31.1131500,1.089447,-0.7793775,2.789924,351.2684,94.9359,354.1944
Left Controller,12:08:31.1250630,1.090503,-0.8110275,3.078428,8.471524,88.73297,7.66777
Right Controller,12:08:31.1251330,1.089447,-0.7793775,2.789924,351.2684,94.9359,354.1944
Left Controller,12:08:31.1273800,1.090509,-0.8110732,3.078378,8.484329,88.7355,7.619698
